"City / Municipality","Transmission Status"
"ABORLAN, PALAWAN","FULL TRANSMISSION"
"ABRA DE ILOG, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"ABUCAY, BATAAN","FULL TRANSMISSION"
"ABULUG, CAGAYAN","FULL TRANSMISSION"
"ABUYOG, LEYTE","FULL TRANSMISSION"
"ADAMS, ILOCOS NORTE","FULL TRANSMISSION"
"AGANA PCG, NORTH AND LATIN AMERICA","FULL TRANSMISSION"
"AGDANGAN, QUEZON","FULL TRANSMISSION"
"AGLIPAY, QUIRINO","FULL TRANSMISSION"
"AGNO, PANGASINAN","FULL TRANSMISSION"
"AGONCILLO, BATANGAS","FULL TRANSMISSION"
"AGOO, LA UNION","FULL TRANSMISSION"
"AGUILAR, PANGASINAN","PARTIAL TRANSMISSION"
"AGUINALDO, IFUGAO","FULL TRANSMISSION"
"AGUTAYA, PALAWAN","PARTIAL TRANSMISSION"
"AJUY, ILOILO","FULL TRANSMISSION"
"AKBAR, BASILAN","FULL TRANSMISSION"
"AL-BARKA, BASILAN","FULL TRANSMISSION"
"ALABAT, QUEZON","FULL TRANSMISSION"
"ALABEL, SARANGANI","FULL TRANSMISSION"
"ALAMADA, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"ALAMINOS, LAGUNA","FULL TRANSMISSION"
"ALAMINOS CITY, PANGASINAN","PARTIAL TRANSMISSION"
"ALANGALANG, LEYTE","FULL TRANSMISSION"
"ALBUERA, LEYTE","FULL TRANSMISSION"
"ALBURQUERQUE, BOHOL","FULL TRANSMISSION"
"ALCALA, CAGAYAN","FULL TRANSMISSION"
"ALCALA, PANGASINAN","PARTIAL TRANSMISSION"
"ALCANTARA, CEBU","FULL TRANSMISSION"
"ALCANTARA, ROMBLON","FULL TRANSMISSION"
"ALCOY, CEBU","FULL TRANSMISSION"
"ALEGRIA, CEBU","FULL TRANSMISSION"
"ALEGRIA, SURIGAO DEL NORTE","FULL TRANSMISSION"
"ALEOSAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"ALFONSO, CAVITE","FULL TRANSMISSION"
"ALFONSO CASTANEDA, NUEVA VIZCAYA","PARTIAL TRANSMISSION"
"ALFONSO LISTA (POTIA), IFUGAO","FULL TRANSMISSION"
"ALIAGA, NUEVA ECIJA","FULL TRANSMISSION"
"ALICIA, BOHOL","FULL TRANSMISSION"
"ALICIA, ISABELA","FULL TRANSMISSION"
"ALICIA, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"ALILEM, ILOCOS SUR","FULL TRANSMISSION"
"ALIMODIAN, ILOILO","FULL TRANSMISSION"
"ALITAGTAG, BATANGAS","FULL TRANSMISSION"
"ALLACAPAN, CAGAYAN","PARTIAL TRANSMISSION"
"ALLEN, NORTHERN SAMAR","FULL TRANSMISSION"
"ALMAGRO, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"ALMERIA, BILIRAN","FULL TRANSMISSION"
"ALOGUINSAN, CEBU","FULL TRANSMISSION"
"ALORAN, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"ALTAVAS, AKLAN","FULL TRANSMISSION"
"ALUBIJID, MISAMIS ORIENTAL","FULL TRANSMISSION"
"AMADEO, CAVITE","FULL TRANSMISSION"
"AMBAGUIO, NUEVA VIZCAYA","FULL TRANSMISSION"
"AMLAN (AYUQUITAN), NEGROS ORIENTAL","PARTIAL TRANSMISSION"
"AMPATUAN, MAGUINDANAO","FULL TRANSMISSION"
"AMULUNG, CAGAYAN","FULL TRANSMISSION"
"ANAHAWAN, SOUTHERN LEYTE","FULL TRANSMISSION"
"ANAO, TARLAC","FULL TRANSMISSION"
"ANDA, BOHOL","FULL TRANSMISSION"
"ANDA, PANGASINAN","FULL TRANSMISSION"
"ANGADANAN, ISABELA","FULL TRANSMISSION"
"ANGAT, BULACAN","FULL TRANSMISSION"
"ANGELES CITY, PAMPANGA","FULL TRANSMISSION"
"ANGONO, RIZAL","FULL TRANSMISSION"
"ANILAO, ILOILO","FULL TRANSMISSION"
"ANINI-Y, ANTIQUE","PARTIAL TRANSMISSION"
"ANKARA PE, EUROPE","NO TRANSMISSION"
"ANTEQUERA, BOHOL","PARTIAL TRANSMISSION"
"ANTIPAS, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"APALIT, PAMPANGA","FULL TRANSMISSION"
"APARRI, CAGAYAN","FULL TRANSMISSION"
"ARAB REPBUBLIC OF EGYPT, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"ARACELI, PALAWAN","FULL TRANSMISSION"
"ARAKAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"ARAYAT, PAMPANGA","FULL TRANSMISSION"
"ARGAO, CEBU","FULL TRANSMISSION"
"ARGENTINA, NORTH AND LATIN AMERICA","NO TRANSMISSION"
"ARINGAY, LA UNION","FULL TRANSMISSION"
"ARITAO, NUEVA VIZCAYA","FULL TRANSMISSION"
"AROROY, MASBATE","FULL TRANSMISSION"
"ARTECHE, EASTERN SAMAR","FULL TRANSMISSION"
"ASINGAN, PANGASINAN","FULL TRANSMISSION"
"ASIPULO, IFUGAO","FULL TRANSMISSION"
"ASTURIAS, CEBU","FULL TRANSMISSION"
"ASUNCION (SAUG), DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"ATHENS PE, EUROPE","NO TRANSMISSION"
"ATIMONAN, QUEZON","FULL TRANSMISSION"
"ATOK, BENGUET","FULL TRANSMISSION"
"AURORA, ISABELA","PARTIAL TRANSMISSION"
"AURORA, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"AUSTRALIA, ASIA","NO TRANSMISSION"
"AYUNGON, NEGROS ORIENTAL","FULL TRANSMISSION"
"BAAO, CAMARINES SUR","FULL TRANSMISSION"
"BABATNGON, LEYTE","FULL TRANSMISSION"
"BACACAY, ALBAY","FULL TRANSMISSION"
"BACARRA, ILOCOS NORTE","FULL TRANSMISSION"
"BACLAYON, BOHOL","FULL TRANSMISSION"
"BACNOTAN, LA UNION","FULL TRANSMISSION"
"BACO, ORIENTAL MINDORO","FULL TRANSMISSION"
"BACOLOD, LANAO DEL NORTE","FULL TRANSMISSION"
"BACOLOD CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"BACOLOD-KALAWI (BACOLOD GRANDE), LANAO DEL SUR","PARTIAL TRANSMISSION"
"BACOLOR, PAMPANGA","FULL TRANSMISSION"
"BACONG, NEGROS ORIENTAL","PARTIAL TRANSMISSION"
"BACOOR CITY, CAVITE","FULL TRANSMISSION"
"BACUAG, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"BACUNGAN (LEON T. POSTIGO), ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"BADIAN, CEBU","FULL TRANSMISSION"
"BADIANGAN, ILOILO","FULL TRANSMISSION"
"BADOC, ILOCOS NORTE","FULL TRANSMISSION"
"BAGABAG, NUEVA VIZCAYA","FULL TRANSMISSION"
"BAGAC, BATAAN","FULL TRANSMISSION"
"BAGAMANOC, CATANDUANES","FULL TRANSMISSION"
"BAGANGA, DAVAO ORIENTAL","FULL TRANSMISSION"
"BAGGAO, CAGAYAN","FULL TRANSMISSION"
"BAGO CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"BAGUIO CITY, BENGUET","FULL TRANSMISSION"
"BAGULIN, LA UNION","FULL TRANSMISSION"
"BAGUMBAYAN, SULTAN KUDARAT","FULL TRANSMISSION"
"BAIS CITY, NEGROS ORIENTAL","FULL TRANSMISSION"
"BAKUN, BENGUET","FULL TRANSMISSION"
"BALABAC, PALAWAN","FULL TRANSMISSION"
"BALABAGAN, LANAO DEL SUR","FULL TRANSMISSION"
"BALAGTAS (BIGAA), BULACAN","FULL TRANSMISSION"
"BALAMBAN, CEBU","FULL TRANSMISSION"
"BALANGA  CITY, BATAAN","FULL TRANSMISSION"
"BALANGIGA, EASTERN SAMAR","FULL TRANSMISSION"
"BALANGKAYAN, EASTERN SAMAR","FULL TRANSMISSION"
"BALAOAN, LA UNION","FULL TRANSMISSION"
"BALASAN, ILOILO","FULL TRANSMISSION"
"BALATAN, CAMARINES SUR","FULL TRANSMISSION"
"BALAYAN, BATANGAS","FULL TRANSMISSION"
"BALBALAN, KALINGA","PARTIAL TRANSMISSION"
"BALENO, MASBATE","FULL TRANSMISSION"
"BALER, AURORA","FULL TRANSMISSION"
"BALETE, AKLAN","FULL TRANSMISSION"
"BALETE, BATANGAS","FULL TRANSMISSION"
"BALIANGAO, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"BALIGUIAN, ZAMBOANGA DEL NORTE","PARTIAL TRANSMISSION"
"BALILIHAN, BOHOL","FULL TRANSMISSION"
"BALINDONG (WATU), LANAO DEL SUR","FULL TRANSMISSION"
"BALINGASAG, MISAMIS ORIENTAL","FULL TRANSMISSION"
"BALINGOAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"BALIUAG, BULACAN","FULL TRANSMISSION"
"BALLESTEROS, CAGAYAN","FULL TRANSMISSION"
"BALOI, LANAO DEL NORTE","FULL TRANSMISSION"
"BALUD, MASBATE","FULL TRANSMISSION"
"BALUNGAO, PANGASINAN","PARTIAL TRANSMISSION"
"BAMBAN, TARLAC","FULL TRANSMISSION"
"BAMBANG, NUEVA VIZCAYA","FULL TRANSMISSION"
"BANATE, ILOILO","FULL TRANSMISSION"
"BANAUE, IFUGAO","PARTIAL TRANSMISSION"
